课程名称,价格,报名人数,课程进度,课程机构
闫辉 HCIA+CCNA网络工程师入门篇,0.0,111,共25节,太阁IT认证中心
剑指Offer-ACM大牛带你玩转数据结构与算法,5772.22,717,进度：24/24节,图灵学院
【松勤】软件测试从基础到高级全栈课程,0.0,426,共17节,松勤软件测试
六IE认证专家 闫辉 教你真正的CCNA全套课程/CCNP/CCIE,0.0,128,共29节,太阁IT认证中心
Java架构师之源码分析专题系列教程,3762.22,2,课程24,猿课教育
松勤Python自动化测试（测试开发）全栈课程-试听课,0.0,35,共10节,松勤软件测试
年薪“50W+”高薪就业班,51662.0,2,课程8,享学课堂
Jmeter性能测试实战（试听课）,0.0,809,共6节,松勤软件测试
C/C++入门到精通实战,0.0,341,共66节,六星教育
超级小白编程入门,0.0,48,共1节,马士兵老师
Python爬虫+数据分析高薪班,8977.22,6,课程3,青灯教育
CCNA网络精品课之交换机基础原理,0.0,14,共1节,新盟教育
IT行业职业发展之路,0.0,63,共2节,渡一教育
Java企业级就业在线培训班,9177.22,921,随到随学,拓薪教育
HOOK原理解析,0.0,11,共7节,逻辑教育
并发编程核心框架AQS之独占锁原理详解【图灵学院】,0.0,553,共5节,图灵学院
2020软考--系统集成项目管理工程师-基础知识(上) 视频课程,577.22,163,共29节,小任老师
软件测试之常用bug管理系统【柠檬班】,0.0,4,共2节,柠檬班
Web前端高级之javascript/js进阶实战【软谋教育】,0.0,14,共2节,软谋教育
真正的Java高级工程师实战课程,3762.22,556,课程30,黄埔课堂
软件测试Python/性能/接口/安全/自动化软件测试零到精通【咕泡】,0.0,95,共21节,咕泡教育
C#/.Net从入门到实战(MVC/Winform/Sql/WPF/Ado.Net/WCF/零基础),0.0,71,共40节,软谋教育
ELK+SpringCloud,92.12,1,课程2,小D课堂
Python基础编程/高级开发/全栈开发/爬虫/数据分析【青灯教育】,0.0,3246,进度：10/12节,青灯教育
Spring Cloud微服务实战直播答疑,0.0,17,共1节,享学课堂
抖音快手 赠小课,76.22,32,课程9,网师学院
双十一电商秒杀系统性能优化实战,0.0,552,共5节,图灵学院
杨哥Linux云计算系列④：自动化运维CobblerSaltstack Ansible,577.22,55,共7节,扣丁学堂
区块链 - 比特币挖矿是怎么回事？,0.0,49,共5节,图灵学院
马哥教育2020Python运维自动化高级进阶班,7622.22,7,共24节,马哥教育
Alibaba双十一万亿级消息中间件RocketMQ实战,0.0,535,共6节,图灵学院
HuaWei R-S,0.0,30,共14节,新盟教育
基于docker构建MySQL集群,0.0,582,共4节,图灵学院
小闫Sir带你学习HCIA、HCIP、HCIE直通车课程,0.0,545,共11节,太阁IT认证中心
软件测试-零基础全栈就业班-【乐搏学院27-35期】,4162.22,522,随到随学,乐搏技术学院
超值赠送课：高级产品经理教你做好项目管理工作,0.0,547,共3节,起点学院
Kali安全渗透+Web白帽子高级工程师+黑客攻防-腾讯课堂认证课程,1872.22,389,共24节,学神IT教育
技术转产品，技术思维是阻力还是助力？,0.0,587,共1节,起点学院
Web前端全栈HTML5+大神之路,9322.22,322,随到随学,扣丁学堂
Axure大作战-产品新人的原型学习营,0.0,332,共4节,起点学院
2020软考--网络工程师-上午历年真题解析视频（第三期）,77.22,514,共156节,小任老师
如何构建数据产品经理的业务、数据、产品能力三角,0.0,332,共1节,起点学院
Java互联网架构师,0.0,86,共10节,逻辑教育
学习新媒体运营精品课 | 新媒体运营的从0到1,0.0,551,共5节,起点学院
2020软考--系统集成项目管理工程师-基础知识(下) 视频课程,577.22,133,共29节,小任老师
原阿里运营总监：运营3大核心思维,0.0,523,已结束,起点学院
美团架构师解密千万级高并发红包系统架构,0.0,40,共5节,图灵学院
数据产品经理求职攻略，老师带你破解面试关键点,0.0,598,共1节,起点学院
spring aop底层实现asm剖析【图灵学院】,0.0,75,共4节,图灵学院
全网独家iOS自动化测试实战,6.22,5231,共67节,柠檬班
CCNA网络精品课之IP地址,0.0,88,共1节,新盟教育
华为认证HCIA初级网络工程师（蔡老师带你从零开始学网络工程师）,0.0,49,进度：15/17节,北京华尔思网络实验室
威哥手把手解析Java核心技术-VIP配套基础课,377.22,68,共32节,扣丁学堂
思科全套模拟器讲解 思科认证网络工程师 CCNA/CCNP/CCIE,0.0,8,共3节,新盟教育
Java零基础入门到年薪30W（java基础  java入门教程  javase）,0.0,5920,共51节,拓薪教育
SPOTO-HCIP直播课 华为认证网络工程师+项目实战,3772.22,939,共20节,SPOTO思博网络
Python开发/自动化/网络爬虫/运维/从入门到精通【动脑学院】,0.0,510,共24节,动脑学院
游戏服务器开发与设计,0.0,530,进度：2/5节,博毅创为大学堂
全网最全最细Fiddler抓包工具，没有之一【柠檬班】,2.23,8579,共25节,柠檬班
深入虚拟机底层分析synchronized【图灵学院】,0.0,48,共4节,图灵学院
JAVA架构师黄埔班,1077.22,5634,进度：8/11节,软谋教育
解密区块链核心密码学,0.0,91,共5节,图灵学院
Jmeter高级性能测试实战课程发布会,0.0,73,共2节,松勤软件测试
Redis高并发分布式锁~Redisson框架实现分布式锁【图灵学院】,0.0,65,共4节,图灵学院
软件测试之python自动化测试3(web自动化+app自动化+接口自动化）,1462.22,89,随到随学,松勤软件测试
太阁ccna/hcia+ccnp/hcip周作业讲解,0.0,49,共5节,太阁IT认证中心
数据结构精华-HashMap+ConcurrentHashMap,0.0,11,共5节,图灵学院
Java分布式电影预告小程序后台,966.22,72,共22节,享学课堂
SEO网站优化SEO网赚|熊掌号|网站建设|快速排名|网络推广网络营销,0.0,962,共6节,魔贝课凡
